City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Sorong,ID,85.77,heavy intensity rain,-0.8833,131.25,Waigo Splash Hotel
553,Davila,PH,80.15,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
555,Kissidougou,GN,65.77,clear sky,9.1848,-10.0999,Hôtel Mantis
557,Saint-Georges,GD,78.84,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
559,Kalangala,UG,70.95,scattered clouds,-0.3089,32.225,Ssese Habitat Resort
562,Sibu,MY,85.44,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
566,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
567,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
571,Salinopolis,BR,79.32,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
572,Orocue,CO,73.47,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
574,Koutiala,ML,72.93,few clouds,12.3917,-5.4642,Hotel La Chaumiere
575,Omboue,GA,77.59,overcast clouds,-1.5746,9.2618,Hotel Olako
577,Tsabong,BW,77.45,clear sky,-26.0217,22.401,Springbok Motel
579,Puerto Baquerizo Moreno,EC,68.97,broken clouds,-0.9,-89.6,Hotel los Algarrobos
580,Quatre Cocos,MU,81.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
582,Faya,SA,64.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
583,Sindon,PH,73.72,overcast clouds,17.0603,122.0151,SINDUN BAYABO VIEW DECK
584,Camacupa,AO,70.72,overcast clouds,-12.0167,17.4833,seviremde seni
586,Santa Isabel Do Rio Negro,BR,72.52,overcast clouds,-0.4139,-65.0192,Hotel GSA
589,San Vicente,AR,63.91,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
590,Mareeba,AU,83.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
591,Kimbe,PG,80.6,light rain,-5.5502,150.1429,Kimbe Bay Hotel
593,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
594,Serra,BR,70.47,clear sky,-20.1286,-40.3078,Interior do Estado do Espirito Santo
595,Olinda,BR,78.1,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
596,Kuching,MY,84.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
597,Sherpur,BD,81.45,clear sky,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
599,Basco,PH,77.49,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
600,Fare,PF,80.44,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
601,Matara,LK,84.07,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
603,Biltine,TD,75.58,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
609,Bam,IR,69.76,clear sky,29.106,58.357,Bam Tourist Hotel
611,Altar,MX,63.57,scattered clouds,30.7,-111.8167,Hotel Maria Elena
612,Nakhon Si Thammarat,TH,76.87,light rain,8.25,100.0,ร้านไอซ์โมสีshop
613,Sinnamary,GF,78.1,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
614,Port-Gentil,GA,78.37,overcast clouds,-0.7193,8.7815,Fengshui Residence
616,Kisaran,ID,86.7,overcast clouds,2.9845,99.6158,Penginapan Batubara1
617,Simoes,BR,77.04,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
618,San Quintin,MX,60.51,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
621,Uniao,BR,77.02,broken clouds,-4.5858,-42.8642,Pousada União
624,Namatanai,PG,83.21,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
625,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
628,Tabuk,PH,73.26,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
634,Gouyave,GD,78.94,overcast clouds,12.1646,-61.7296,Rumboat Retreat
638,Masallatah,LY,64.87,overcast clouds,32.6167,14.0,Mustafa Taher Sowaidan
640,Tuy Hoa,VN,77.34,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
642,Tonantins,BR,72.97,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
644,Pemangkat,ID,82.33,overcast clouds,1.1667,108.9667,Ramah Kost KITA
646,Broken Hill,AU,73.22,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
651,Touho,NC,76.89,moderate rain,-20.7833,165.2333,Auberge Timay Evasion
656,Lubango,AO,70.41,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
658,Abu Kamal,SY,64.65,overcast clouds,34.4506,40.9171,محطة التلفاز
660,Yeppoon,AU,82.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
661,Dosso,NE,76.77,clear sky,13.049,3.1937,Hotel Toubal
664,Bontang,ID,83.32,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
665,Mbandaka,CD,74.41,overcast clouds,0.0487,18.2603,Guest House Epervier
666,Warrnambool,AU,62.62,overcast clouds,-38.3833,142.4833,Lady Bay Resort
667,Malacacheta,BR,62.13,overcast clouds,-17.8422,-42.0767,Pousada Varanda do Sol
